#lat_deg,#lon_deg,#clean_adm2,#water_source_category,#water_tech_category,#install_year,#management_clean,#subjective_quality,water_point_population,local_population_1km,crucialness_score
5.28026,7.6700467,Obot Akara,Well,Mechanized Pump,NA,NA,No because of Colour,NA,NA,NA
4.641055,7.6078733,Ikot Abasi,Well,Mechanized Pump,1983,NA,No because of Taste,NA,NA,NA
5.2984483000000004,7.6067483,Obot Akara,Well,Mechanized Pump,NA,NA,No because of Colour,NA,NA,NA
5.2821033,7.94169,Odukpani,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
4.60497,7.654975,Ikot Abasi,Well,Mechanized Pump,2007,NA,No because of Taste,NA,NA,NA
6.0327083,8.74995,Ikom,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
6.0340983,8.7499967,Ikom,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
8.1471423,5.5120547,Yagba West,Well,NA,2013,Other,No because of Colour,NA,NA,NA
4.805835,6.0803167,Southern Ijaw,Well,NA,2000,NA,Acceptable quality,NA,NA,NA
5.338215,7.7671383,Ini,Well,Mechanized Pump,2013,NA,No because of Colour,NA,NA,NA
4.7433713,8.1820805,Urue Offong,Well,Mechanized Pump,2010,NA,No because of Colour,NA,NA,NA
8.1079834,4.9265978,Irepodun,Well,NA,NA,Community Management,No because of Odour,NA,NA,NA
4.9587883,7.8491567,Nsit Ibom,Well,Mechanized Pump,2007,NA,No because of Colour,NA,NA,NA
5.2452217,7.91118,Ibiono Ibom,Well,Mechanized Pump,2012,NA,No because of Colour,NA,NA,NA
4.3231717,6.0666667,Brass,Well,Mechanized Pump,2008,NA,No because of Colour,NA,NA,NA
5.0288167,7.9540967,Uyo,Well,Mechanized Pump,NA,NA,Acceptable quality,NA,NA,NA
9.8798084,8.9054388,Jos North,Well,Hand Pump,2013,NA,No because of Colour,NA,NA,NA
6.6192883,9.3227133,Obanliku,Well,Mechanized Pump,2009,NA,No because of Taste,NA,NA,NA
5.3498033,7.7623917,Ini,Well,Mechanized Pump,2001,NA,No because of Colour,NA,NA,NA
5.9221788,8.2111029,Obubra,Well,Hand Pump,2009,Community Management,Acceptable quality,NA,NA,NA
5.02791,7.8931067,Uyo,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
5.0689137,7.381922,Aba North,Well,Hand Pump,NA,NA,Acceptable quality,NA,NA,NA
5.0294683,7.9374983,Uyo,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
6.6917183,5.2437067,Ovia South-West,Well,Mechanized Pump,2002,NA,No because of Taste,NA,NA,NA
4.8289817,7.8846183,Nsit Ibom,Well,Mechanized Pump,NA,NA,No because of Colour,NA,NA,NA
8.1380849,5.4168238,Ekiti,Well,NA,1998,NA,No because of Odour,NA,NA,NA
4.645645,7.6612333,Ikot Abasi,Well,Mechanized Pump,NA,NA,No because of Colour,NA,NA,NA
4.909115,7.324255,Ukwa East,Well,Mechanized Pump,NA,NA,Acceptable quality,NA,NA,NA
9.781495,11.188195,Billiri,Well,Hand Pump,2014,NA,Acceptable quality,NA,NA,NA
6.122225,8.6981417,Ikom,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
4.6510933,8.2301717,Mbo,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
6.5054973,3.2262492,Amuwo Odofin,Well,Mechanized Pump,2006,NA,No because of Colour,NA,NA,NA
4.9199267,7.2128867,Ukwa West,Well,Mechanized Pump,NA,NA,Acceptable quality,NA,NA,NA
4.6670467,6.0962733,Southern Ijaw,Well,Mechanized Pump,NA,NA,No because of Colour,NA,NA,NA
4.9995217,7.60758,Etim Ekpo,Well,Mechanized Pump,2011,NA,Acceptable quality,NA,NA,NA
4.8652594,7.0222066,Obio/Akpor,Well,Mechanized Pump,2014,NA,Acceptable quality,NA,NA,NA
5.00543,7.97697,Uyo,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
6.0080997,7.9427508,Onicha,Well,Mechanized Pump,NA,NA,Acceptable quality,NA,NA,NA
4.7455683,6.1578433,Southern Ijaw,Well,NA,2007,NA,No because of Colour,NA,NA,NA
5.9054317,5.0659067,Warri North,Well,Mechanized Pump,NA,NA,No because of Odour,NA,NA,NA
7.142345,3.37533,Obafemi-Owode,Piped Water,NA,NA,Direct Government Operation,Acceptable quality,NA,NA,NA
6.1421733,5.1982467,Ovia South-West,Well,Mechanized Pump,1991,NA,No because of Colour,NA,NA,NA
8.379568,6.9232592,Kogi,Well,Mechanized Pump,2014,NA,No because of Odour,NA,NA,NA
7.3627897,7.6098414,Ankpa,Well,Mechanized Pump,1998,Other,No because of Taste,NA,NA,NA
5.1896367,7.7225183,Ikot Ekpene,Well,Mechanized Pump,2010,NA,Acceptable quality,NA,NA,NA
8.8049582,2.9740276,Baruten,Well,Hand Pump,NA,NA,No because of Colour,NA,NA,NA
4.4730767,5.7747633,Southern Ijaw,Well,Mechanized Pump,NA,NA,No because of Colour,NA,NA,NA
5.02501,7.9891683,Uyo,Well,Mechanized Pump,2008,NA,Acceptable quality,NA,NA,NA
5.06178,7.267695,Ukwa West,Well,Mechanized Pump,NA,Community Management,Acceptable quality,NA,NA,NA
5.488695,6.326085,Isoko North,Well,Mechanized Pump,2010,NA,No because of Taste,NA,NA,NA
5.0381217,7.9618533,Uyo,Well,Mechanized Pump,NA,NA,Acceptable quality,NA,NA,NA
4.4297683,5.8272333,Southern Ijaw,Well,NA,NA,NA,No because of Colour,NA,NA,NA
4.8782567,7.84306,Etinan,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
8.1460785,4.7166389,Offa,Well,NA,NA,Community Management,No because of Odour,NA,NA,NA
7.2025683,5.5664667,Owo,Well,Mechanized Pump,2015,School Management,Acceptable quality,NA,NA,NA
4.5377,7.709,Mkpat Enin,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
4.7910433,6.6425083,Abua/Odual,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
8.4343931,5.4619761,Yagba West,Well,Hand Pump,NA,NA,Acceptable quality,NA,NA,NA
5.29318,7.60465,Obot Akara,Well,Mechanized Pump,1989,NA,No because of Colour,NA,NA,NA
4.3342683,6.0566233,Brass,Well,Mechanized Pump,2012,Other,No because of Colour,NA,NA,NA
4.9107367,7.326195,Ukwa East,Well,Mechanized Pump,NA,NA,Acceptable quality,NA,NA,NA
5.037335,7.9181667,Uyo,Well,Mechanized Pump,2008,NA,No because of Taste,NA,NA,NA
4.9968217,7.6064883,Etim Ekpo,Well,Mechanized Pump,1982,NA,Acceptable quality,NA,NA,NA
5.5719328,7.3516241,Obowo,Well,Mechanized Pump,NA,NA,Acceptable quality,NA,NA,NA
6.025355,8.7460317,Ikom,Well,Mechanized Pump,1983,NA,No because of Taste,NA,NA,NA
7.3177411,4.7855068,Atakumosa East,Well,Mechanized Pump,NA,NA,Acceptable quality,NA,NA,NA
5.9204021,8.2094296,Obubra,Well,Mechanized Pump,2000,Community Management,Acceptable quality,NA,NA,NA
5.86777,8.8778683,Etung,Well,Mechanized Pump,NA,NA,Acceptable quality,NA,NA,NA
5.0002533,7.8468233,Uyo,Well,Mechanized Pump,2006,NA,No because of Taste,NA,NA,NA
9.7196567,10.971933,Alkaleri,Well,Hand Pump,2013,NA,Acceptable quality,NA,NA,NA
5.029015,7.8736083,Uyo,Well,Mechanized Pump,NA,NA,Acceptable quality,NA,NA,NA
7.04969,8.2089883,Otukpo,Well,Hand Pump,NA,NA,No because of Colour,NA,NA,NA
4.8678967,7.914545,Ibesikpo Asutan,Well,Mechanized Pump,2001,NA,Acceptable quality,NA,NA,NA
7.4319502,7.7069552,Ankpa,Well,Mechanized Pump,NA,NA,Acceptable quality,NA,NA,NA
9.72794,11.101953,Billiri,Well,Hand Pump,2012,NA,Acceptable quality,NA,NA,NA
5.5745691,7.3182356,Obowo,Well,Mechanized Pump,NA,NA,Acceptable quality,NA,NA,NA
4.7490533,6.16439,Southern Ijaw,Well,NA,2007,NA,No because of Colour,NA,NA,NA
7.9053217,9.5487483,Wukari,Well,Hand Pump,NA,NA,No because of Odour,NA,NA,NA
4.83545,8.04095,Nsit Atai,Well,Mechanized Pump,2008,NA,Acceptable quality,NA,NA,NA
4.8766733,7.9207717,Ibesikpo Asutan,Well,Mechanized Pump,2008,NA,Acceptable quality,NA,NA,NA
5.0497817,7.8512717,Ibiono Ibom,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
4.8118733,8.0683817,Okobo,Well,Mechanized Pump,2003,NA,No because of Colour,NA,NA,NA
4.9376367,7.8556967,Nsit Ibom,Well,Mechanized Pump,2003,Community Management,Acceptable quality,NA,NA,NA
8.0349212,5.1024369,Oke-Ero,Well,Mechanized Pump,2013,Community Management,No because of Colour,NA,NA,NA
7.1245361,6.3438143,Etsako West,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
9.5427963,9.1241264,Mangu,Well,Hand Pump,NA,NA,No because of Taste,NA,NA,NA
4.7008717,6.0314467,Southern Ijaw,Well,NA,2000,NA,Acceptable quality,NA,NA,NA
6.7926233,4.8649367,Odigbo,Well,Hand Pump,NA,NA,No because of Colour,NA,NA,NA
4.8729567,7.9146483,Ibesikpo Asutan,Well,Mechanized Pump,2007,NA,Acceptable quality,NA,NA,NA
5.0122696,7.3495357,Ugwunagbo,Well,Hand Pump,NA,NA,Acceptable quality,NA,NA,NA
5.9439552,6.863799,Nnewi North,Well,Mechanized Pump,NA,NA,Acceptable quality,NA,NA,NA
4.9351767,7.8654167,Nsit Ibom,Well,Mechanized Pump,2008,NA,No because of Colour,NA,NA,NA
5.3014183,7.8399083,Ibiono Ibom,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
5.9218195,8.2101076,Obubra,Well,Hand Pump,2009,Community Management,No because of Taste,NA,NA,NA
5.0250267,7.895915,Uyo,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
6.4913717,8.8060083,Boki,Well,Hand Pump,NA,NA,No because of Taste,NA,NA,NA
4.8321967,7.911165,Nsit Ibom,Well,Hand Pump,1992,NA,Acceptable quality,NA,NA,NA
5.00214,7.8806267,Uyo,Well,Mechanized Pump,2014,NA,No because of Taste,NA,NA,NA
7.048345,8.2056433,Otukpo,Well,Hand Pump,NA,NA,No because of Colour,NA,NA,NA
9.7913733,10.993043,Alkaleri,Well,Hand Pump,2013,NA,Acceptable quality,NA,NA,NA
4.750415,8.2284133,Udung Uko,Well,Mechanized Pump,NA,NA,No because of Taste,NA,NA,NA
8.0837704,4.7438307,Oyun,Well,Hand Pump,1991,Community Management,No because of Taste,NA,NA,NA
5.0811518,8.3569546,Akpabuyo,Well,Mechanized Pump,2013,NA,No because of Taste,NA,NA,NA
6.6592383,3.6179917,Ikorodu,Well,Mechanized Pump,2008,NA,No because of Odour,NA,NA,NA
